SerialNumber,y_debt,PC1_score_raw,PC1_score_oriented,PC2_score_raw,PC2_score_oriented,PC3_score_raw,PC3_score_oriented,PC4_score_raw,PC4_score_oriented
15,0,-8.4830328958376,-8.4830328958376,2.8741583762730367,-2.8741583762730367,-1.6858922238685492,1.6858922238685492,-1.9652427737528853,1.9652427737528853
16,0,-0.9329761704658682,-0.9329761704658682,-2.1114905237530803,2.1114905237530803,-2.4521065290527737,2.4521065290527737,-5.8067591214774605,5.8067591214774605
17,0,-6.944739981878559,-6.944739981878559,2.598306157889549,-2.598306157889549,-1.978171588813713,1.978171588813713,-3.819736212432439,3.819736212432439
18,0,-5.543398649009676,-5.543398649009676,2.373567536838882,-2.373567536838882,3.7027435263091504,-3.7027435263091504,1.8332829246748268,-1.8332829246748268
19,0,-7.428719110347677,-7.428719110347677,5.940866032735419,-5.940866032735419,3.0129730241122084,-3.0129730241122084,3.840674271458886,-3.840674271458886
20,0,-4.575107359833598,-4.575107359833598,1.2348769340189996,-1.2348769340189996,3.265788053363683,-3.265788053363683,3.9171761191854118,-3.9171761191854118
21,0,-4.102604283210799,-4.102604283210799,-1.8687802124672726,1.8687802124672726,-2.2532026742307885,2.2532026742307885,-3.675370963186663,3.675370963186663
22,0,-8.152771369353234,-8.152771369353234,2.2267445472335403,-2.2267445472335403,-2.8150802583022276,2.8150802583022276,-2.1762911334918034,2.1762911334918034
23,0,-9.258123296670128,-9.258123296670128,3.4648827211413367,-3.4648827211413367,-2.8664704512553962,2.8664704512553962,-1.8601026428652025,1.8601026428652025
24,1,-1.2303588556742941,-1.2303588556742941,4.783669838782065,-4.783669838782065,-1.4331620708554642,1.4331620708554642,-1.0137548034762425,1.0137548034762425
25,0,-5.023353866419706,-5.023353866419706,-1.8363395420675808,1.8363395420675808,-3.7534023800908436,3.7534023800908436,-1.8648895237682737,1.8648895237682737
26,0,-5.450144148537103,-5.450144148537103,1.9680075346612023,-1.9680075346612023,-1.0864934952036647,1.0864934952036647,-3.0783024684761484,3.0783024684761484
27,0,-5.380400337631953,-5.380400337631953,3.710305954995682,-3.710305954995682,2.4564874740309945,-2.4564874740309945,3.024333065123768,-3.024333065123768
28,0,-9.142881313934899,-9.142881313934899,3.6576954816338123,-3.6576954816338123,-3.213652080176663,3.213652080176663,-0.6994648451828482,0.6994648451828482
29,0,-5.801694252504962,-5.801694252504962,-1.1667850747910549,1.1667850747910549,-2.8788976552310537,2.8788976552310537,-3.7723776316387805,3.7723776316387805
30,1,0.24993248990276043,0.24993248990276043,-4.724731502134586,4.724731502134586,1.7566682283070394,-1.7566682283070394,-0.3946842481969317,0.3946842481969317
31,0,-2.476800475543518,-2.476800475543518,-1.0236334419483257,1.0236334419483257,4.923707621208737,-4.923707621208737,2.0272002335527515,-2.0272002335527515
32,0,-6.996173761366245,-6.996173761366245,2.6708700875817963,-2.6708700875817963,-2.898528559797908,2.898528559797908,-2.1384864952317195,2.1384864952317195
33,0,-5.544200184088974,-5.544200184088974,2.6391135266396204,-2.6391135266396204,3.859126571991082,-3.859126571991082,1.5900661430183698,-1.5900661430183698
34,0,-8.557017822205054,-8.557017822205054,3.8868389647197974,-3.8868389647197974,-2.773222210306607,2.773222210306607,-2.3493476339997894,2.3493476339997894
35,0,-9.993000515200999,-9.993000515200999,5.640893219755274,-5.640893219755274,-3.131573989919304,3.131573989919304,-1.345770060367041,1.345770060367041
36,0,0.043300184805014116,0.043300184805014116,-3.884198863330215,3.884198863330215,4.509245532920105,-4.509245532920105,-1.936985423364795,1.936985423364795
37,0,6.247681038960698,6.247681038960698,-5.2783891420853015,5.2783891420853015,4.477454340331248,-4.477454340331248,-3.2984138581250937,3.2984138581250937
38,0,-3.9132249736427047,-3.9132249736427047,3.520971941577748,-3.520971941577748,2.4526204868861146,-2.4526204868861146,0.8003520753774408,-0.8003520753774408
39,0,-7.579633450897201,-7.579633450897201,1.8998797728035373,-1.8998797728035373,-3.0068018038705393,3.0068018038705393,-2.6699673486856588,2.6699673486856588
40,0,-5.66811827154878,-5.66811827154878,2.087165997190088,-2.087165997190088,-0.6584565004657698,0.6584565004657698,0.5746964380245512,-0.5746964380245512
41,0,-6.748949306527403,-6.748949306527403,0.9167669289648182,-0.9167669289648182,-3.577933024083587,3.577933024083587,-1.7692036605560526,1.7692036605560526
42,1,-2.3326587144259165,-2.3326587144259165,0.628408445526554,-0.628408445526554,-4.326371451431594,4.326371451431594,-5.539628110530642,5.539628110530642
43,0,6.473239111348385,6.473239111348385,-5.0638569428849545,5.0638569428849545,4.168128875858018,-4.168128875858018,-5.12725710989698,5.12725710989698
